TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555624674,555624674,1,Kota Kinabalu Wetland,Kota Kinabalu Wetland,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(viii),0,0,0,0.242,0.237921760668994,Not Applicable,0,Designated,2016,Government-delegated management,Not Reported,Sabah Wetlands Conservation Society (SWCS),Management plan implemented and available,State Verified,1856,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705695,555705695,1,Menumbok,Menumbok Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,1.71459910488852,0,85.935516352962,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705696,555705696,1,Northern Kuamut,Northern Kuamut Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,694.693528693918,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705697,555705697,1,Nuluhon Trusmadi,Nuluhon Trusmadi Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,787.40122056738,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705698,555705698,1,Weston,Weston Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0.0540353239994255,0,2.97481411806378,Not Reported,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705740,555705740,1,Sungai Wi,Sungai Wi Soil Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,82.8006340014,82.8255094149161,Not Applicable,0,Designated,2002,Sub-national ministry or agency,Not Reported,Pahang State Forestry Department,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705699,555705699,1,Tun Sakaran Marine Park,Tun Sakaran Marine Park,State Park,State Park,National,V,Not Applicable,2,0,345.95767748776,0,358.071427884531,Not Reported,0,Designated,2004,Sub-national ministry or agency,Not Reported,Sabah Parks,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9853,9853,1,Mandamai,Mandamai Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,53.3980128992569,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705630,555705630,1,Membalua,Membalua Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.719785457038496,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705631,555705631,1,Mengilan,Mengilan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,65.9615829910714,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705633,555705633,1,Mount Louisa,Mount Louisa Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,568.61247734362,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705634,555705634,1,Mount Magdalena,Mount Magdalena Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,556.615506156125,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3433,3433,1,Mount Pock,Mount Pock Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,77.4248805641725,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9815,9815,1,Kubah National Park,Kubah National Park,National Park,National Park,National,II,Not Applicable,0,0,0,22.85330078125,22.8534855349012,Not Applicable,0,Designated,1988,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,792,792,1,Bako National Park,Bako National Park,National Park,National Park,National,II,Not Applicable,1,0,2.8380984191272,25.644599609375,25.6462873839011,Not Reported,0,Designated,1957,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9817,9817,1,Santubong National Park,Santubong National Park,National Park,National Park,National,II,Not Applicable,1,0,2.52753608424258,9.73432983398438,9.73428152816549,Not Reported,0,Designated,2007,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705601,555705601,1,Bukit Sembiling,Bukit Sembiling Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,0.897594985961914,0.897771035384343,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9877,9877,1,Agathis,Agathis Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,1.96822316418391,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705604,555705604,1,Apas,Apas Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.0522769556423207,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,62579,62579,1,Botitian,Botitian Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,21.4508623606215,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,18251,18251,1,Samunsam,Samunsam Wildlife Sanctuary,Widlife Reserve,Widlife Reserve,National,Ia,Not Applicable,0,0,0,197.65400390625,197.570006127548,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705586,555705586,1,Pulau Tukong Ara-Banun,Pulau Tukong Ara-Banun Wildlife Sanctuary,Wildlife Reserve,Wildlife Reserve,National,Ia,Not Applicable,2,0,0.101095761108889,0.101099996566772,0.101095761108889,Not Reported,0,Designated,1985,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705590,555705590,1,Ulu Sebuyau National Park,Ulu Sebuyau National Park,National Park,National Park,National,II,Not Applicable,0,0,0,152.122998046875,152.166980910823,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,1300,1300,1,Lanjak Entimau,Lanjak Entimau Wildlife Sanctuary,Wildlife Reserve,Wildlife Reserve,National,Ia,Not Applicable,0,0,0,1623.5,1623.976965916,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9821,9821,1,Sibuti,Sibuti Wildlife Sanctuary,Wildlife Reserve,Wildlife Reserve,National,Ia,Not Applicable,0,0,0.117249807742061,5.83578979492188,5.83656216606979,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,787,787,1,Gunung Mulu National Park,Gunung Mulu National Park,National Park,National Park,National,II,Not Applicable,0,0,0,936.063984375,936.343217185547,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705587,555705587,1,Limbang Mangrove National Park,Limbang Mangrove National Park,National Park,National Park,National,II,Not Applicable,1,0,8.39858400040176,28.87080078125,28.8756251507965,Not Reported,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705591,555705591,1,Sedilu National Park,Sedilu National Park,National Park,National Park,National,II,Not Applicable,0,0,0,51.17580078125,51.1887193759202,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9819,9819,1,Pulong Tau National Park,Pulong Tau National Park,National Park,National Park,National,II,Not Applicable,0,0,0,665.251015625,665.401956631349,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,4056,4056,1,Lambir Hills National Park,Lambir Hills National Park,National Park,National Park,National,II,Not Applicable,0,0,0,64.0702001953125,64.0784686399024,Not Applicable,0,Designated,1975,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705588,555705588,1,Miri-Sibuti Coral Reef National Park,Miri-Sibuti Coral Reef National Park,National Park,National Park,National,II,Not Applicable,2,0,1720.77113965737,1721.11,1721.10812976716,Not Reported,0,Designated,2007,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,301894,301894,1,Bukit Tiban National Park,Bukit Tiban National Park,National Park,National Park,National,II,Not Applicable,0,0,0,72.9922998046875,73.0096721833745,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,786,786,1,Similajau National Park,Similajau National Park,National Park,National Park,National,II,Not Applicable,1,0,10.622201081238,76.2972998046875,76.311494764414,Not Reported,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,19585,19585,1,Pelagus National Park,Pelagus National Park,National Park,National Park,National,II,Not Applicable,0,0,0,19.5333996582031,19.5388550122511,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,14538,14538,1,Bruit National Park,Bruit National Park,National Park,National Park,National,II,Not Applicable,1,0,6.46350564256369,12.0241003417969,12.0222496821792,Not Reported,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3961,3961,1,Rajang Mangrove National Park,Rajang Mangrove National Park,National Park,National Park,National,II,Not Applicable,1,0,9.86590384059397,97.404501953125,97.4198714418725,Not Reported,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,12250,12250,1,Batang Ai National Park,Batang Ai National Park,National Park,National Park,National,II,Not Applicable,0,0,0,229.42099609375,229.480854020296,Not Applicable,0,Designated,1990,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,18253,18253,1,Maludam National Park,Maludam National Park,National Park,National Park,National,II,Not Applicable,0,0,0,404.681015625,404.789459957631,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705595,555705595,1,Kuching Wetland National Park,Kuching Wetland National Park,National Park,National Park,National,II,Not Applicable,1,0,13.4138335407199,84.9475,84.9498242134121,Not Reported,0,Designated,2002,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,301880,301880,1,Talang-Satang National Park,Talang-Satang National Park,National Park,National Park,National,II,Not Applicable,2,0,101.643982556855,102.60900390625,102.601420660435,Not Reported,0,Designated,1999,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3939,3939,1,Gunung Gading National Park,Gunung Gading National Park,National Park,National Park,National,II,Not Applicable,0,0,0,35.384599609375,35.378018119079,Not Applicable,0,Designated,1983,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,101273,101273,1,Tanjung Datu National Park,Tanjung Datu National Park,National Park,National Park,National,II,Not Applicable,0,0,0.549279741126383,10.2456994628906,10.2404233110964,Not Applicable,0,Designated,1994,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705596,555705596,1,Wind Cave,Wind Cave Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,0.112566995620728,0.112576806985837,Not Applicable,0,Designated,1999,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,313455,313455,1,Fairy Cave,Fairy Cave Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,0.545004005432129,0.545054006025545,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,301895,301895,1,Semenggoh,Semenggoh Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,6.19508972167969,6.19596649677332,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705597,555705597,1,Sama Jaya,Sama Jaya Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,0.328914985656738,0.328954646124633,Not Applicable,0,Designated,1999,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705598,555705598,1,Bukit Lima,Bukit Lima Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,1.90848007202148,1.90891596829133,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705599,555705599,1,Pulau Tun Ahmad Zaidi,Pulau Tun Ahmad Zaidi Nature Reserve,National Park,National Park,National,II,Not Applicable,1,0,2.88639653609528,3.74614990234375,3.74624490123535,Not Reported,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705600,555705600,1,Bukit Hitam,Bukit Hitam Nature Reserve,National Park,National Park,National,II,Not Applicable,0,0,0,1.93977005004883,1.94015927664149,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705602,555705602,1,Kota Kinabalu Wetlands,Kota Kinabalu Wetlands,Nature Reserve,Nature Reserve,National,IV,Not Applicable,0,0,0,0,0.236297874569135,Not Applicable,0,Designated,2000,Government-delegated management,Not Reported,Sabah Wetlands Conservation Society (SWCS),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,8796,8796,1,Crocker Range,Crocker Range National Park,State Park,State Park,National,II,Not Applicable,0,0,0,0,1396.73326661712,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Parks,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,795,795,1,Tawau Hill Park,Tawau Hill Park,State Park,State Park,National,II,Not Applicable,0,0,0,0,278.584874004988,Not Applicable,0,Designated,1980,Sub-national ministry or agency,Not Reported,Sabah Parks,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705605,555705605,1,Babanga,Babanga Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.418014430375947,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705606,555705606,1,Balat Damit Wildlife,Balat Damit Wildlife,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.0601878729781898,0,51.0907334588463,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3385,3385,1,Bald Hill,Bald Hill Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.521982269298962,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705607,555705607,1,Balembangan,Balembangan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.0124013871130024,0,4.23172421220976,Not Reported,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705608,555705608,1,Banggi,Banggi Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,109.09372587174,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705609,555705609,1,Baradaya,Baradaya Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.208617587945239,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9859,9859,1,Basio,Basio Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,2.10936365347378,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9860,9860,1,Batu Timbang,Batu Timbang Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,2.61053524925821,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,793,793,1,Turtle Islands Park,Turtle Islands Park,State Park,State Park,National,IV,Not Applicable,2,0,19.0966910820501,0,19.2606784995504,Not Reported,0,Designated,1977,Sub-national ministry or agency,Not Reported,Sabah Parks,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705612,555705612,1,Bukit Hampuan,Bukit Hampuan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,14.5273464914238,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9861,9861,1,Batumapun,Batumapun Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.0159142723355199,0,1.63804930322085,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705613,555705613,1,Bukit Monkobo and Bukit Mentapok,Bukit Monkobo and Bukit Mentapok Protection Forest,Forest Reserve,Forest Reserve,National,III,Not Applicable,0,0,0,0,54.4504774125647,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705614,555705614,1,Bukit Piton,Bukit Piton Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,116.695063328101,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3399,3399,1,Gomantong,Gomantong Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,44.681640188657,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
